Sensor_0,Sensor_1,Sensor_2,Sensor_3
100825.5,104273,101594.25,113957.25
100828,104272.25,101584.5,113955
100841,104273.5,101582.5,113961
100828.75,104280,101571,113965.5
100841.25,104272,101580,113956.25
100845.5,104268.75,101585,113959.75
100848.25,104276.5,101581.25,113965.5
100858.5,104267,101590.75,113957.75
100855,104271.75,101578.5,113964.5
100844.25,104279.75,101578.5,113954
100854.25,104266.75,101586,113957.5
100860,104277.5,101580,113945.5
100859.25,104272.25,101580.25,113959.25
100864,104272.75,101577,113956.75
100867,104272,101586.5,113958.75
100863.25,104275,101584.25,113955
100869.5,104270.75,101583.5,113957.5
100876.25,104274.5,101579.5,113958.75
100870.25,104275.5,101578.75,113957
100878,104279.25,101595,113958.75
100885,104277.75,101586.75,113958.75
100876.5,104262.5,101578,113956.5
100889.25,104271.25,101581,113954
100887.75,104275.75,101580.75,113954
100883.25,104280.5,101578.25,113957.25
100886,104271,101588.5,113964
100894,104274.75,101593.25,113963.75
100897,104279.75,101592,113965.25
100896.25,104270,101586.75,113956
100897.5,104273.25,101585.75,113961.25
100902,104278.5,101589.25,113946.75
100907,104269.25,101579,113954.75
100904.25,104274.25,101590,113954
100908,104268.25,101587.25,113962.75
100905.75,104274.25,101579.5,113952.5
100911.5,104268.5,101581.75,113955.5
100909,104277,101587.75,113961.25
100915.5,104257.75,101583.5,113960
100908.75,104265.75,101583.75,113946.5
100916.5,104271,101581.25,113959.75
100910.5,104282,101575.75,113958.25
100926,104276,101580.25,113962.75
100923.5,104277.25,101576.75,113947
100919,104266.25,101591.5,113951
100923.5,104272.25,101584.5,113952.5
100929.25,104282.25,101578.5,113965.25
100932.25,104273.25,101583.75,113954.25
100925.25,104276.75,101583,113952.5
100932.25,104271.25,101588,113954.75
100926,104264,101578.25,113953.75
100931,104273.25,101585.25,113939
100936,104271.75,101581,113960.25
100934.5,104274.25,101585.5,113958
100930.75,104270.75,101580.25,113955
100939.75,104280.25,101589.75,113952
100935.75,104266,101583,113958
100936,104265.75,101579.5,113956.75
100935.5,104272.25,101586.5,113955.5
